channel_name,description,publishedAt,total_views,subscribers,total_videos,playlists,publishedAtTime,publishedAtDate
Beh2inga,"Welcome to the Beh2inga channel, now a museum which holds host to many of a memory. Re-live the Sidemen GTA Funny moments, The old Trials rage, The Garry's Mod antics and of course the Golf With Friends anger. Please enjoy your stay whilst you're here drop a like on the way out. Who knows, maybe the museum could come back to life?",2013-08-19T23:30:49Z,291680738,1960000,2319,UUbzZFTHge5zk2yebSiWRZRg,23:30:49,2013-08-19
KSI,"For any inquiries contact Mams Taylor – Mams@properloud.com

Stream / download my new single 'Not Over Yet' with Tom Grennan. https://lnk.to/NotOverYet
",2009-07-25T01:11:42Z,5927506140,24000000,1245,UUVtFOytbRpEvzLjvqGG5gxQ,01:11:42,2009-07-25
W2S,COOL VIDEOS,2012-07-26T13:57:46Z,4749715321,16300000,653,UUjtLOfx1yt1NlnFIDyAX3Ug,13:57:46,2012-07-26
TBJZL,Games + Vlogs,2011-11-16T00:27:12Z,517118584,4860000,890,UUfNWN9s_s8kRTCadk04WWJA,00:27:12,2011-11-16
VikkstarPlays,I'm Vikkstar and this is my Third channel for videos I don't post to my other two YouTube channels!,2013-03-01T17:13:28Z,141328154,1100000,673,UUBXG9Hl9f94Zfoceh1a8otQ,17:13:28,2013-03-01
Miniminter,"If you want to see videos with 'KSI', 'my girlfriend' and 'the Sidemen' in titles, you've come to the right place!",2008-02-17T16:27:40Z,3532961525,10100000,1753,UUWZmCMB7mmKWcXJSIPRhzZw,16:27:40,2008-02-17
Vikkstar123HD,"I'm Vikkstar and this is where I post series on games I enjoy!

Business Contact: vikbarn(at)gmail.com

My FPS Channel: http://www.youtube.com/user/Vikkstar123

My Let's Play Channel: http://www.youtube.com/user/VikkstarPlays",2012-06-01T16:10:50Z,1101579096,3290000,4074,UUmbnlwXAdGYACzvStDjquaA,16:10:50,2012-06-01
MM7Games,2nd Channel for any games you want me to play!!,2013-09-14T18:19:43Z,2674162285,5190000,4719,UUjB_adDAIxOL8GA4Y4OCt8g,18:19:43,2013-09-14
JJ Olatunji, For any inquiries contact Mams Taylor – Mams@properloud.com,2011-01-26T21:00:50Z,3742451965,16000000,1198,UUGmnsW623G1r-Chmo5RB4Yw,21:00:50,2011-01-26
TBJZLPlays,"TBJZLPlays - this is where I, TBJZL(Tobjizzle) play GTA and other games with my good friends ZerkaaHD (ZerkaaPlays), Miniminter (MM7Games), KSI (KSIOlajidebtHD), Behzinga (Beh2inga) Wroetoshaw (BlueJumperGaming) and Vikkstar (Vikkstar123).
You can find my main channel here: http://youtube.com/TBJZL
My Twitters: http://twitter.com/TBJZL http://twitter.com/Tobjizzle

Support a Creator: AN2KX7",2011-03-12T14:04:12Z,162891966,1660000,1603,UUVa7nsA_blpxzmfZWTPEsLQ,14:04:12,2011-03-12
ZerkaaPlays,"Welcome to ZerkaaPlays, my gaming channel in which I post videos of me playing random games daily!",2012-08-24T21:42:32Z,1018199038,2790000,4383,UUst9GLZ-X47MxWBmx9cCrKA,21:42:32,2012-08-24
W2SPlays,"On this channel I'm gonna play loads of random games so hopefully you enjoy it and stuff :D

Business Email: wroetobusiness@gmail.com",2013-07-08T00:10:47Z,550539328,3780000,216,UU5_IT4-XpinnvNQwM1e15eQ,00:10:47,2013-07-08
Zerkaa,"Welcome to my Main Channel, this is where I post my real life videos, vlogs, challenges and more. For gaming videos, please check my other channel.",2009-12-06T03:09:22Z,701521380,4650000,1691,UUhntGq8THlUokhc1tT-M2wA,03:09:22,2009-12-06
Behzinga,"Welcome to my channel, You might know me as the one that flexes in the Sidemen. However get involved with the channel and find out what it's all about. You'll find entertaining content ranging from Fitness, Lifestyle & Fun with friends all in the aims of sharing my journey with you guys.",2012-02-24T18:02:50Z,561203073,4880000,861,UUHhfSXoDG6gSgpOvLH4wrRw,18:02:50,2012-02-24
